"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C3","100n","~","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","1",""
"C4","1u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C5","47u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"D1","1n4007","~","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D2,D3","LED","~","LED_THT:LED_D5.0mm","2",""
"J1,J3","CAIMAN","~","modules_teee2025:caiman","2",""
"J2","TBLOCK_2","~","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1",""
"LS1","SPK","~","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1",""
"R2,R3,R4","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"SW1","SW_SPDT","~","modules_teee2025:SPDT_PCB_small_P2.5mm","1",""
"U1","~","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","1",""
